20240930-icon-2i.t00z.T2m
edition      centre       date         dataType     gridType     stepRange    typeOfLevel  level        shortName    packingType  
2            cnmc         20240930     fc           regular_ll   0            heightAboveGround  2            2t           grid_simple 
2            cnmc         20240930     fc           regular_ll   1            heightAboveGround  2            2t           grid_simple 
2            cnmc         20240930     fc           regular_ll   2            heightAboveGround  2            2t           grid_simple 
2            cnmc         20240930     fc           regular_ll   3            heightAboveGround  2            2t           grid_simple 
2            cnmc         20240930     fc           regular_ll   4            heightAboveGround  2            2t           grid_simple 
2            cnmc         20240930     fc           regular_ll   5            heightAboveGround  2            2t           grid_simple 
2            cnmc         20240930     fc           regular_ll   6            heightAboveGround  2            2t           grid_simple 
2            cnmc         20240930     fc           regular_ll   7            heightAboveGround  2            2t           grid_simple 
2            cnmc         20240930     fc           regular_ll   8            heightAboveGround  2            2t           grid_simple 
2            cnmc         20240930     fc           regular_ll   9            heightAboveGround  2            2t           grid_simple 
2            cnmc         20240930     fc           regular_ll   10           heightAboveGround  2            2t           grid_simple 
2            cnmc         20240930     fc           regular_ll   11           heightAboveGround  2            2t           grid_simple 
2            cnmc         20240930     fc           regular_ll   12           heightAboveGround  2            2t           grid_simple 
2            cnmc         20240930     fc           regular_ll   13           heightAboveGround  2            2t           grid_simple 
2            cnmc         20240930     fc           regular_ll   14           heightAboveGround  2            2t           grid_simple 
2            cnmc         20240930     fc           regular_ll   15           heightAboveGround  2            2t           grid_simple 
2            cnmc         20240930     fc           regular_ll   16           heightAboveGround  2            2t           grid_simple 
2            cnmc         20240930     fc           regular_ll   17           heightAboveGround  2            2t           grid_simple 
2            cnmc         20240930     fc           regular_ll   18           heightAboveGround  2            2t           grid_simple 
2            cnmc         20240930     fc           regular_ll   19           heightAboveGround  2            2t           grid_simple 
2            cnmc         20240930     fc           regular_ll   20           heightAboveGround  2            2t           grid_simple 
2            cnmc         20240930     fc           regular_ll   21           heightAboveGround  2            2t           grid_simple 
2            cnmc         20240930     fc           regular_ll   22           heightAboveGround  2            2t           grid_simple 
2            cnmc         20240930     fc           regular_ll   23           heightAboveGround  2            2t           grid_simple 
2            cnmc         20240930     fc           regular_ll   24           heightAboveGround  2            2t           grid_simple 
2            cnmc         20240930     fc           regular_ll   25           heightAboveGround  2            2t           grid_simple 
2            cnmc         20240930     fc           regular_ll   26           heightAboveGround  2            2t           grid_simple 
2            cnmc         20240930     fc           regular_ll   27           heightAboveGround  2            2t           grid_simple 
2            cnmc         20240930     fc           regular_ll   28           heightAboveGround  2            2t           grid_simple 
2            cnmc         20240930     fc           regular_ll   29           heightAboveGround  2            2t           grid_simple 
2            cnmc         20240930     fc           regular_ll   30           heightAboveGround  2            2t           grid_simple 
2            cnmc         20240930     fc           regular_ll   31           heightAboveGround  2            2t           grid_simple 
2            cnmc         20240930     fc           regular_ll   32           heightAboveGround  2            2t           grid_simple 
2            cnmc         20240930     fc           regular_ll   33           heightAboveGround  2            2t           grid_simple 
2            cnmc         20240930     fc           regular_ll   34           heightAboveGround  2            2t           grid_simple 
2            cnmc         20240930     fc           regular_ll   35           heightAboveGround  2            2t           grid_simple 
2            cnmc         20240930     fc           regular_ll   36           heightAboveGround  2            2t           grid_simple 
2            cnmc         20240930     fc           regular_ll   37           heightAboveGround  2            2t           grid_simple 
2            cnmc         20240930     fc           regular_ll   38           heightAboveGround  2            2t           grid_simple 
2            cnmc         20240930     fc           regular_ll   39           heightAboveGround  2            2t           grid_simple 
2            cnmc         20240930     fc           regular_ll   40           heightAboveGround  2            2t           grid_simple 
2            cnmc         20240930     fc           regular_ll   41           heightAboveGround  2            2t           grid_simple 
2            cnmc         20240930     fc           regular_ll   42           heightAboveGround  2            2t           grid_simple 
2            cnmc         20240930     fc           regular_ll   43           heightAboveGround  2            2t           grid_simple 
2            cnmc         20240930     fc           regular_ll   44           heightAboveGround  2            2t           grid_simple 
2            cnmc         20240930     fc           regular_ll   45           heightAboveGround  2            2t           grid_simple 
2            cnmc         20240930     fc           regular_ll   46           heightAboveGround  2            2t           grid_simple 
2            cnmc         20240930     fc           regular_ll   47           heightAboveGround  2            2t           grid_simple 
2            cnmc         20240930     fc           regular_ll   48           heightAboveGround  2            2t           grid_simple 
2            cnmc         20240930     fc           regular_ll   49           heightAboveGround  2            2t           grid_simple 
2            cnmc         20240930     fc           regular_ll   50           heightAboveGround  2            2t           grid_simple 
2            cnmc         20240930     fc           regular_ll   51           heightAboveGround  2            2t           grid_simple 
2            cnmc         20240930     fc           regular_ll   52           heightAboveGround  2            2t           grid_simple 
2            cnmc         20240930     fc           regular_ll   53           heightAboveGround  2            2t           grid_simple 
2            cnmc         20240930     fc           regular_ll   54           heightAboveGround  2            2t           grid_simple 
2            cnmc         20240930     fc           regular_ll   55           heightAboveGround  2            2t           grid_simple 
2            cnmc         20240930     fc           regular_ll   56           heightAboveGround  2            2t           grid_simple 
2            cnmc         20240930     fc           regular_ll   57           heightAboveGround  2            2t           grid_simple 
2            cnmc         20240930     fc           regular_ll   58           heightAboveGround  2            2t           grid_simple 
2            cnmc         20240930     fc           regular_ll   59           heightAboveGround  2            2t           grid_simple 
2            cnmc         20240930     fc           regular_ll   60           heightAboveGround  2            2t           grid_simple 
2            cnmc         20240930     fc           regular_ll   61           heightAboveGround  2            2t           grid_simple 
2            cnmc         20240930     fc           regular_ll   62           heightAboveGround  2            2t           grid_simple 
2            cnmc         20240930     fc           regular_ll   63           heightAboveGround  2            2t           grid_simple 
2            cnmc         20240930     fc           regular_ll   64           heightAboveGround  2            2t           grid_simple 
2            cnmc         20240930     fc           regular_ll   65           heightAboveGround  2            2t           grid_simple 
2            cnmc         20240930     fc           regular_ll   66           heightAboveGround  2            2t           grid_simple 
2            cnmc         20240930     fc           regular_ll   67           heightAboveGround  2            2t           grid_simple 
2            cnmc         20240930     fc           regular_ll   68           heightAboveGround  2            2t           grid_simple 
2            cnmc         20240930     fc           regular_ll   69           heightAboveGround  2            2t           grid_simple 
2            cnmc         20240930     fc           regular_ll   70           heightAboveGround  2            2t           grid_simple 
2            cnmc         20240930     fc           regular_ll   71           heightAboveGround  2            2t           grid_simple 
2            cnmc         20240930     fc           regular_ll   72           heightAboveGround  2            2t           grid_simple 
73 of 73 messages in 20240930-icon-2i.t00z.T2m

73 of 73 total messages in 1 files
